link name,station1,station2,line,time,distance(miles)
271,115,178,8,2,0.7833806287
272,115,184,8,3,1.174001838
273,115,291,8,2,0.7166756115
366,116,117,10,3,1.313048931
367,116,118,10,3,1.177955927
368,116,132,10,4,1.661717062
369,117,118,10,5,0.8204248257
183,120,238,13,2,0.2070429623
327,121,261,9,3,1.53304177
93,122,186,3,3,0.6140150641
141,122,186,4,3,0.6140150641
399,123,145,11,4,1.350728468
274,125,134,8,2,0.651836472
275,125,271,8,3,1.336607647
370,125,134,10,2,0.651836472
371,125,271,10,3,1.336607647
52,126,259,2,2,0.4766900806
372,126,223,10,2,0.4303895428
53,127,186,2,2,0.4206354087
54,127,226,2,1,0.5813641907
142,129,268,4,2,0.7443419258
373,130,131,10,2,0.4558001081
374,130,132,10,2,0.8299112578
375,131,190,10,2,0.5811407526
376,133,146,10,2,0.353679276
276,134,220,8,3,1.111881065
377,134,220,10,3,1.111881065
184,135,171,13,2,0.2856521278
328,136,191,9,2,0.557692691
329,136,279,9,3,1.118521975
11,137,206,1,3,0.90856533
12,137,298,1,3,0.9910149557
330,139,264,9,2,0.431358815
13,140,237,1,2,0.8667606464
143,141,213,4,3,1.177390677
244,142,290,7,2,0.6055737245
245,142,297,7,2,0.7357572814
14,143,159,1,2,0.5072294334
15,143,206,1,2,0.4689600912
246,144,207,7,2,0.7367897588
247,144,282,7,4,1.45736607
378,145,223,10,2,0.5391691377
379,146,236,10,3,0.7603427939
218,147,150,6,1,0.3604381438
219,147,283,6,2,0.4888300655
16,148,279,1,1,0.3331960601
55,149,162,2,3,0.7398540216
56,149,208,2,1,0.5265092258
220,150,227,6,2,0.6873815559
331,151,259,9,1,0.3800442184
380,151,197,10,2,0.2818458734
57,153,154,2,3,0.9966700208
58,153,247,2,2,1.036754681
59,154,230,2,2,1.034699797
60,154,275,2,2,1.085078856
185,155,225,13,2,0.7059302727
186,155,284,13,2,0.59085519
94,156,167,3,2,0.2762547937
221,156,167,6,2,0.2762547937
277,156,167,8,2,0.2762547937
411,156,92,14,,1.003127757
248,157,233,7,2,0.8584629615
17,159,278,1,1,0.4561550091
381,160,266,10,3,1.359264276
61,164,247,2,4,1.697336941
144,164,244,4,2,0.6235669205
222,164,244,6,2,0.6235669205
95,166,263,3,2,0.4225076841
145,166,263,4,2,0.4225076841
332,167,188,9,1,0.5345735821
278,168,179,8,3,1.309241581
279,168,214,8,4,1.925960461
333,169,240,9,4,0.9199149288
249,172,282,7,4,1.408346142
195,174,253,5,4,1.317258439
196,175,253,5,4,1.258364409
382,176,234,10,1,0.3205100561
62,177,239,2,3,1.422148578
280,178,202,8,2,1.081355224
281,179,180,8,2,0.9739528627
282,180,199,8,2,1.343615145
63,181,286,2,2,0.9921864941
383,182,194,10,2,0.6850525558
283,184,199,8,3,0.9459047601
18,185,237,1,2,0.5880431932
19,185,281,1,2,0.767384969
64,186,208,2,2,0.3970288915
384,187,232,10,3,1.075691632
